ID  	Xi  	Yi  	Xf  	Yf  	Time  	Length
40526  	286  	322  	286  	322  	6.79  	0
40526  	285  	320  	290  	329  	7.76  	2.5516
40526  	286  	322  	297  	352  	8.73  	7.2684
40526  	285  	321  	297  	357  	9.7  	8.8127
40526  	286  	323  	298  	358  	10.67  	8.0769
40526  	281  	321  	295  	350  	11.64  	7.6334
40526  	284  	322  	290  	339  	12.61  	4.3417
40526  	285  	326  	285  	326  	13.58  	0
15984  	194  	302  	194  	302  	6.79  	0
15984  	194  	302  	199  	316  	7.76  	3.4296
15984  	194  	302  	201  	322  	8.73  	4.8688
15984  	194  	298  	203  	320  	9.7  	5.1984
15984  	193  	298  	195  	306  	10.67  	1.756
15984  	190  	296  	190  	296  	11.64  	0
74177  	121  	250  	121  	250  	3.88  	0
74177  	123  	252  	123  	252  	4.85  	0
74177  	124  	253  	123  	262  	5.82  	1.8725
74177  	123  	256  	127  	288  	6.79  	6.8109
74177  	124  	259  	130  	295  	7.76  	7.8523
74177  	122  	254  	127  	283  	8.73  	6.2965
74177  	122  	252  	123  	274  	9.7  	4.5747
74177  	122  	255  	123  	266  	10.67  	2.6681
74177  	123  	255  	123  	255  	11.64  	0
72045  	212  	310  	212  	310  	12.61  	0
72045  	216  	315  	217  	320  	13.58  	1.0769
72045  	219  	320  	236  	337  	14.55  	5.714
72045  	220  	319  	240  	337  	15.52  	6.9402
72045  	225  	325  	242  	338  	16.49  	5.3844
72045  	228  	326  	241  	337  	17.46  	3.7706
72045  	228  	330  	250  	345  	18.43  	6.3918
72045  	228  	326  	263  	354  	19.4  	11.4723
72045  	226  	324  	277  	360  	20.37  	14.4371
72045  	226  	323  	282  	361  	21.34  	16.1461
72045  	228  	322  	281  	362  	22.31  	16.0966
72045  	228  	321  	276  	358  	23.28  	14.3445
72045  	226  	324  	263  	352  	24.25  	11.0643
72045  	226  	321  	250  	342  	25.22  	7.6689
72045  	228  	322  	241  	336  	26.19  	4.7523
72045  	231  	325  	231  	325  	27.16  	0
99512  	271  	323  	271  	323  	26.19  	0
99512  	271  	322  	252  	344  	27.16  	6.9898
99512  	270  	322  	237  	352  	28.13  	11.0617
99512  	271  	322  	236  	351  	29.1  	10.911
47586  	95  	152  	95  	152  	2.91  	0
47586  	99  	152  	108  	138  	3.88  	3.9921
47586  	104  	156  	119  	126  	4.85  	8.064
47586  	108  	157  	126  	122  	5.82  	9.6907
47586  	107  	156  	128  	114  	6.79  	11.8316
47586  	105  	157  	122  	118  	7.76  	9.6339
47586  	105  	159  	120  	120  	8.73  	9.4235
47586  	106  	161  	119  	124  	9.7  	9.2916
47586  	105  	162  	116  	130  	10.67  	7.9347
47586  	108  	163  	118  	133  	11.64  	7.7358
47586  	107  	158  	114  	137  	12.61  	5.0677
47586  	107  	156  	112  	142  	13.58  	3.1965
47586  	109  	154  	110  	152  	14.55  	0.5967
47586  	109  	160  	109  	160  	15.52  	0
61723  	166  	293  	166  	293  	13.58  	0
61723  	166  	291  	167  	313  	14.55  	5.1373
61723  	166  	296  	165  	333  	15.52  	7.4417
61723  	168  	294  	165  	324  	16.49  	6.8096
61723  	167  	294  	167  	320  	17.46  	5.1714
61723  	168  	294  	166  	312  	18.43  	3.8615
61723  	167  	298  	168  	302  	19.4  	0.878
61723  	168  	300  	168  	300  	20.37  	0
3981  	223  	179  	223  	179  	11.64  	0
3981  	227  	179  	234  	174  	12.61  	2.2703
3981  	228  	180  	236  	176  	13.58  	2.1538
3981  	234  	178  	252  	168  	14.55  	4.6017
3981  	234  	180  	254  	166  	15.52  	5.947
3981  	233  	181  	251  	169  	16.49  	5.2325
3981  	234  	180  	254  	166  	17.46  	5.947
