ID  	Xi  	Yi  	Xf  	Yf  	Time  	Length
12928  	215  	256  	215  	256  	8.4  	0
12928  	215  	257  	197  	264  	9.45  	4.3899
12928  	215  	255  	200  	259  	10.5  	3.5461
12928  	215  	258  	192  	259  	11.55  	4.7736
12928  	211  	260  	179  	261  	12.6  	6.4472
12928  	215  	259  	173  	260  	13.65  	8.4008
12928  	211  	260  	173  	261  	14.7  	7.7571
12928  	210  	260  	183  	261  	15.75  	5.6175
12928  	212  	262  	193  	262  	16.8  	4.0604
12928  	209  	260  	209  	260  	17.85  	0
10461  	207  	247  	207  	247  	11.55  	0
10461  	206  	251  	203  	254  	12.6  	1.1934
10461  	205  	249  	190  	266  	13.65  	5.6657
10461  	204  	251  	183  	280  	14.7  	9.0129
10461  	204  	251  	184  	287  	15.75  	9.8568
10461  	206  	253  	190  	278  	16.8  	7.2228
10461  	205  	257  	199  	265  	17.85  	2.4351
10461  	205  	256  	204  	257  	18.9  	0.3978
27596  	237  	276  	237  	276  	1.05  	0
27596  	237  	274  	239  	280  	2.1  	1.5912
27596  	232  	271  	242  	282  	3.15  	3.4734
27596  	235  	273  	244  	284  	4.2  	3.6285
27596  	236  	274  	252  	300  	5.25  	7.8877
27596  	233  	274  	243  	289  	6.3  	4.5064
27596  	234  	275  	240  	284  	7.35  	2.7505
27596  	234  	275  	245  	288  	8.4  	4.191
27596  	237  	279  	251  	305  	9.45  	7.2569
27596  	238  	276  	255  	319  	10.5  	11.1184
27596  	238  	279  	261  	331  	11.55  	12.6785
27596  	239  	281  	261  	330  	12.6  	12.9213
27596  	241  	283  	262  	330  	13.65  	11.9751
27596  	240  	283  	266  	340  	14.7  	13.7935
27596  	243  	285  	262  	345  	15.75  	13.93
27596  	240  	285  	265  	336  	16.8  	13.5663
27596  	242  	288  	256  	321  	17.85  	8.2288
27596  	243  	287  	244  	290  	18.9  	0.7956
27596  	239  	281  	241  	285  	19.95  	1.1934
27596  	239  	281  	240  	283  	21  	0.4802
27596  	236  	278  	236  	278  	22.05  	0
4566  	132  	200  	132  	200  	14.7  	0
4566  	129  	202  	111  	202  	15.75  	3.5802
4566  	132  	202  	109  	202  	16.8  	4.5747
4566  	131  	199  	101  	201  	17.85  	6.1318
4566  	131  	199  	103  	198  	18.9  	5.7681
4566  	129  	201  	89  	198  	19.95  	8.3197
4566  	132  	201  	97  	196  	21  	7.4545
